scenario,n_seeds,n_blocks_used,running_mean_RE_delay_pct,SE_pct,ci95_halfwidth_pct,enough_data,tol_pass,drift_pass,trend_pass,overall_pass
"S1 (nominal, kappa=1.0)",240,24,3.2348525597060864,0.04107262982863811,0.08050235446413069,True,True,True,True,True
"S1 (nominal, kappa=1.0)",250,25,3.2454228315571148,0.0407889040593363,0.07994625195629915,True,True,True,True,True
"S1 (nominal, kappa=1.0)",260,26,3.243062584731092,0.039259723223266756,0.07694905751760284,True,True,True,True,True
"S1 (nominal, kappa=1.0)",270,27,3.24532539661372,0.037845394682803755,0.07417697357829536,True,True,True,True,True
"S1 (nominal, kappa=1.0)",280,28,3.2491437877946763,0.036668088734342644,0.07186945391931158,True,True,True,True,True
"S1 (nominal, kappa=1.0)",290,29,3.2548907448289164,0.03584478689940478,0.07025578232283337,True,True,True,True,True
"S1 (nominal, kappa=1.0)",300,30,3.2678307884689604,0.036968052343598796,0.07245738259345363,True,True,True,False,False
"S1 (nominal, kappa=1.0)",310,31,3.281999628325527,0.03846066555276261,0.07538290448341471,True,True,True,False,False
"S1 (nominal, kappa=1.0)",320,32,3.2852214093121344,0.03737848636334182,0.07326183327214997,True,True,True,True,True
"S1 (nominal, kappa=1.0)",330,33,3.286083060155616,0.036238347811300024,0.07102716171014804,True,True,True,True,True
"S1 (nominal, kappa=1.0)",340,34,3.2925780699906775,0.035751292227046275,0.0700725327650107,True,True,True,True,True
"S1 (nominal, kappa=1.0)",350,35,3.295702201565087,0.03485509534307455,0.06831598687242611,True,True,True,True,True
"S1 (nominal, kappa=1.0)",360,36,3.289959500950914,0.03435641246919667,0.06733856843962548,True,True,True,True,True
"S1 (nominal, kappa=1.0)",370,37,3.288132213681103,0.03346488677571889,0.06559117808040903,True,True,True,True,True
"S1 (nominal, kappa=1.0)",380,38,3.266216219461083,0.039258978788496865,0.07694759842545386,True,True,True,True,True
"S1 (nominal, kappa=1.0)",390,39,3.2613478430486245,0.03854775155268074,0.07555359304325425,True,True,True,True,True
"S1 (nominal, kappa=1.0)",400,40,3.262291706958797,0.03758355453332969,0.07366376688532619,True,True,True,True,True
"S1 (nominal, kappa=1.0)",410,41,3.2648079631619207,0.03674168651263449,0.07201370556476361,True,True,True,True,True
"S1 (nominal, kappa=1.0)",420,42,3.2505646854178423,0.03858158994393955,0.07561991629012152,True,True,True,True,True
"S1 (nominal, kappa=1.0)",430,43,3.243820483643735,0.03827256150608649,0.07501422055192952,True,True,True,True,True
"S1 (nominal, kappa=1.0)",440,44,3.2437368852394766,0.03739270833162708,0.07328970832998907,True,True,True,True,True
"S1 (nominal, kappa=1.0)",450,45,3.2374191255132314,0.037094283273908374,0.07270479521686041,True,True,True,True,True
"S1 (nominal, kappa=1.0)",460,46,3.2357024593337145,0.036319517102626056,0.07118625352114707,True,True,True,True,True
"S1 (nominal, kappa=1.0)",470,47,3.231425164353796,0.035794836896135274,0.07015788031642514,True,True,True,True,True
"S1 (nominal, kappa=1.0)",480,48,3.223977771122972,0.03582384331472433,0.07021473289685969,True,True,True,True,True
"S1 (nominal, kappa=1.0)",490,49,3.227955939814459,0.0353099424407083,0.06920748718378826,True,True,True,True,True
"S1 (nominal, kappa=1.0)",500,50,3.226759523074069,0.03461721777925218,0.06784974684733427,True,True,True,True,True
"S1 (nominal, kappa=1.0)",510,51,3.2293198095239504,0.03402811553038488,0.06669510643955437,True,True,True,True,True
"S1 (nominal, kappa=1.0)",520,52,3.229784767040959,0.033370551842178,0.06540628161066887,True,True,True,True,True
"S1 (nominal, kappa=1.0)",530,53,3.2257266264016513,0.03298544877343253,0.06465147959592775,True,True,True,True,True
"S1 (nominal, kappa=1.0)",540,54,3.2311127080846895,0.032813898506129355,0.06431524107201353,True,True,True,True,True
"S1 (nominal, kappa=1.0)",550,55,3.22846546401764,0.032320353037934256,0.06334789195435114,True,True,True,True,True
"S1 (nominal, kappa=1.0)",560,56,3.2327579704764995,0.03202691841080883,0.06277276008518531,True,True,True,True,True
"S1 (nominal, kappa=1.0)",570,57,3.231525550460259,0.031484155755584865,0.06170894528094634,True,True,True,True,True
"S1 (nominal, kappa=1.0)",580,58,3.2264273539266357,0.031353828568367055,0.061453503993999424,True,True,True,True,True
"S1 (nominal, kappa=1.0)",590,59,3.2286234908873226,0.03089597754835667,0.06055611599477907,True,True,True,True,True
"S1 (nominal, kappa=1.0)",600,60,3.2290568621280267,0.030379771641865196,0.059544352418055786,True,True,True,True,True
"S1 (nominal, kappa=1.0)",610,61,3.220965575214355,0.030953827416294277,0.060669501735936784,True,True,True,True,True
"S1 (nominal, kappa=1.0)",620,62,3.2192835821786647,0.030496898345340688,0.05977392075686775,True,True,True,True,True
"S1 (nominal, kappa=1.0)",630,63,3.2204287699645455,0.030030759627300257,0.058860288869508504,True,True,True,True,True
"S1 (nominal, kappa=1.0)",640,64,3.2111772372363725,0.03097183684808858,0.060704800222253615,True,True,True,True,True
"S1 (nominal, kappa=1.0)",650,65,3.198564290576335,0.032997357055491235,0.06467481982876282,True,True,True,True,True
"S1 (nominal, kappa=1.0)",660,66,3.2012634925144923,0.032605468090918036,0.06390671745819936,True,True,True,True,True
"S1 (nominal, kappa=1.0)",670,67,3.198305797962555,0.03225104159743452,0.06321204153097165,True,True,True,True,True
"S1 (nominal, kappa=1.0)",680,68,3.198642460555684,0.03177500552774364,0.062279010834377535,True,True,True,True,True
"S1 (nominal, kappa=1.0)",690,69,3.2010541454403767,0.03140385254362409,0.061551550985503224,True,True,True,True,True
