scenario,block_idx,n_seeds_in_block,block_mean_RE_delay_pct,block_std_RE_delay_pct
"S2 (weak UAV-HAP link, kappa=1.0)",98,10,2.835021412726887,1.3778832630622333
"S2 (weak UAV-HAP link, kappa=1.0)",99,10,2.1112969978999345,0.8142197522052431
"S3 (degraded backhaul, kappa=1.0)",0,10,4.899060564203525,1.0592634075491487
"S3 (degraded backhaul, kappa=1.0)",1,10,5.061106783460407,0.7372857213510389
"S3 (degraded backhaul, kappa=1.0)",2,10,4.480222261414225,0.8512655648302058
"S3 (degraded backhaul, kappa=1.0)",3,10,5.301211726761415,0.5396289323759097
"S3 (degraded backhaul, kappa=1.0)",4,10,4.894598359388869,0.700587098693584
"S3 (degraded backhaul, kappa=1.0)",5,10,5.214779811531824,0.6890638673240722
"S3 (degraded backhaul, kappa=1.0)",6,10,4.560512979081499,0.8273703720415054
"S3 (degraded backhaul, kappa=1.0)",7,10,4.877088983963148,0.9583770030610066
"S3 (degraded backhaul, kappa=1.0)",8,10,4.880177413784759,0.6766722273808695
"S3 (degraded backhaul, kappa=1.0)",9,10,5.05674338302161,1.0257156360554263
"S3 (degraded backhaul, kappa=1.0)",10,10,4.9819297376436875,0.9239545482644643
"S3 (degraded backhaul, kappa=1.0)",11,10,5.255013667985184,0.5847061817685031
"S3 (degraded backhaul, kappa=1.0)",12,10,4.816236383620498,0.91892463067444
"S3 (degraded backhaul, kappa=1.0)",13,10,4.706811169764674,0.553761386307918
"S3 (degraded backhaul, kappa=1.0)",14,10,5.052588905091305,1.4444410152194662
"S3 (degraded backhaul, kappa=1.0)",15,10,5.107368099554495,0.6096961672352729
"S3 (degraded backhaul, kappa=1.0)",16,10,4.768014801890533,0.9412755097841234
"S3 (degraded backhaul, kappa=1.0)",17,10,4.796392992395797,0.7208605330536836
"S3 (degraded backhaul, kappa=1.0)",18,10,4.877579252994761,1.040370006113151
"S3 (degraded backhaul, kappa=1.0)",19,10,5.119750390457272,0.8224394070263628
"S3 (degraded backhaul, kappa=1.0)",20,10,4.943097106970432,0.7796481568383008
"S3 (degraded backhaul, kappa=1.0)",21,10,5.532150052106569,0.7113349945653057
"S3 (degraded backhaul, kappa=1.0)",22,10,4.875307667176357,0.861748096624412
"S3 (degraded backhaul, kappa=1.0)",23,10,4.664721745565176,0.6692118651736162
"S3 (degraded backhaul, kappa=1.0)",24,10,5.192190084509475,0.6987283041972729
"S3 (degraded backhaul, kappa=1.0)",25,10,4.639024520960136,0.7678787068076673
"S3 (degraded backhaul, kappa=1.0)",26,10,5.244988294768186,0.7857445885897597
"S3 (degraded backhaul, kappa=1.0)",27,10,4.889967324736118,0.9753761503193787
"S3 (degraded backhaul, kappa=1.0)",28,10,5.366481674961593,0.7395415720608102
"S3 (degraded backhaul, kappa=1.0)",29,10,5.076919260689367,0.9692330504098842
"S3 (degraded backhaul, kappa=1.0)",30,10,5.368046699829861,0.9063978986192034
"S3 (degraded backhaul, kappa=1.0)",31,10,4.651203455891762,0.7532616211585585
"S3 (degraded backhaul, kappa=1.0)",32,10,5.235109778975228,1.0060439162734782
"S3 (degraded backhaul, kappa=1.0)",33,10,4.721106218839452,0.9454052886625905
"S3 (degraded backhaul, kappa=1.0)",34,10,5.174103626043303,0.4880437764207805
"S3 (degraded backhaul, kappa=1.0)",35,10,5.018007429030992,0.6420136003484205
"S3 (degraded backhaul, kappa=1.0)",36,10,5.551474639026153,0.8690034193353579
"S3 (degraded backhaul, kappa=1.0)",37,10,4.610848043541862,0.8098018732221457
"S3 (degraded backhaul, kappa=1.0)",38,10,4.9295588276332385,0.8110246757620813
"S3 (degraded backhaul, kappa=1.0)",39,10,5.4826634751134105,0.7614309219142642
"S3 (degraded backhaul, kappa=1.0)",40,10,5.468025878098226,1.4678886829306679
"S3 (degraded backhaul, kappa=1.0)",41,10,4.7269961418781055,0.7800580970968009
"S3 (degraded backhaul, kappa=1.0)",42,10,4.433141520014013,0.5249444926239745
"S3 (degraded backhaul, kappa=1.0)",43,10,4.8250495718666535,0.6895926010312841
"S3 (degraded backhaul, kappa=1.0)",44,10,5.139859343083682,1.0633385972425835
"S3 (degraded backhaul, kappa=1.0)",45,10,4.9226195229459275,0.6518320145689032
"S3 (degraded backhaul, kappa=1.0)",46,10,5.050688878169872,0.5583023952818236
"S3 (degraded backhaul, kappa=1.0)",47,10,4.578460911321981,1.4676784654206656
"S3 (degraded backhaul, kappa=1.0)",48,10,4.830567336300766,0.6904087192167628
"S3 (degraded backhaul, kappa=1.0)",49,10,5.134643780824855,1.0483212900644603
"S3 (degraded backhaul, kappa=1.0)",50,10,4.522218356487618,0.9515951061424579
"S3 (degraded backhaul, kappa=1.0)",51,10,4.8306944451353955,0.9928786089961859
"S3 (degraded backhaul, kappa=1.0)",52,10,4.711619229243982,0.5218388770783556
"S3 (degraded backhaul, kappa=1.0)",53,10,5.312288989601126,1.0791014025464536
"S3 (degraded backhaul, kappa=1.0)",54,10,5.120841451286868,0.8592564685770859
"S3 (degraded backhaul, kappa=1.0)",55,10,5.0403507809661745,1.3071535236327987
"S3 (degraded backhaul, kappa=1.0)",56,10,5.154790460675948,0.4879786389936833
"S3 (degraded backhaul, kappa=1.0)",57,10,4.685779067352515,0.9865069022066548
"S3 (degraded backhaul, kappa=1.0)",58,10,4.854929868848448,0.7540941748561161
"S3 (degraded backhaul, kappa=1.0)",59,10,4.701163710028996,0.4796252157252007
"S3 (degraded backhaul, kappa=1.0)",60,10,4.596824117080146,0.6868510665772165
"S3 (degraded backhaul, kappa=1.0)",61,10,4.811930969240964,0.7990336580936693
"S3 (degraded backhaul, kappa=1.0)",62,10,4.883574520780728,0.8961484020702492
"S3 (degraded backhaul, kappa=1.0)",63,10,4.782882119078138,0.7269715344101613
"S3 (degraded backhaul, kappa=1.0)",64,10,5.040568284649511,0.7392856957739745
"S3 (degraded backhaul, kappa=1.0)",65,10,5.145188541270316,0.8450867645665029
"S3 (degraded backhaul, kappa=1.0)",66,10,5.010374919574369,1.2338418352698242
"S3 (degraded backhaul, kappa=1.0)",67,10,5.120729432777885,0.6906731260697102
"S3 (degraded backhaul, kappa=1.0)",68,10,4.892615137643363,0.6492964694759781
"S3 (degraded backhaul, kappa=1.0)",69,10,4.872639144897699,1.0702360772300978
"S3 (degraded backhaul, kappa=1.0)",70,10,4.473809164999702,0.7642164184944882
"S3 (degraded backhaul, kappa=1.0)",71,10,4.672933098255404,1.1995097277105373
"S3 (degraded backhaul, kappa=1.0)",72,10,5.325645069127855,0.7384506400172597
"S3 (degraded backhaul, kappa=1.0)",73,10,5.4131896665354144,1.0032993770023098
"S3 (degraded backhaul, kappa=1.0)",74,10,4.779441736982221,1.093504656770517
"S3 (degraded backhaul, kappa=1.0)",75,10,4.350063640734708,0.5200346511014808
"S3 (degraded backhaul, kappa=1.0)",76,10,4.711292801025868,0.6079589349584477
"S3 (degraded backhaul, kappa=1.0)",77,10,5.068116992874228,0.5611977284198066
"S3 (degraded backhaul, kappa=1.0)",78,10,5.414407859857959,0.741882356001101
"S3 (degraded backhaul, kappa=1.0)",79,10,5.086394202305884,0.871311387654572
"S3 (degraded backhaul, kappa=1.0)",80,10,5.045921032379042,0.8511259071510837
"S3 (degraded backhaul, kappa=1.0)",81,10,4.978168664698496,0.7409940648450963
"S3 (degraded backhaul, kappa=1.0)",82,10,5.00656081877708,0.3838284055737668
"S3 (degraded backhaul, kappa=1.0)",83,10,4.842660575712441,0.8429902193507746
"S3 (degraded backhaul, kappa=1.0)",84,10,5.2099884413850805,0.68571696305142
"S3 (degraded backhaul, kappa=1.0)",85,10,4.9011295003078725,1.1045391235092352
"S3 (degraded backhaul, kappa=1.0)",86,10,5.1681687714923825,0.9247686583303437
"S3 (degraded backhaul, kappa=1.0)",87,10,4.699453378138484,0.8166809929748243
"S3 (degraded backhaul, kappa=1.0)",88,10,4.598007238265546,0.7979463867889809
"S3 (degraded backhaul, kappa=1.0)",89,10,5.586500978814413,0.8677496608395638
"S3 (degraded backhaul, kappa=1.0)",90,10,4.785028046516635,0.5558681596541114
"S3 (degraded backhaul, kappa=1.0)",91,10,4.857985922280617,0.5579602678023345
"S3 (degraded backhaul, kappa=1.0)",92,10,4.978900516261202,0.49336380009254566
"S3 (degraded backhaul, kappa=1.0)",93,10,4.695139473970258,0.8753373452966938
"S3 (degraded backhaul, kappa=1.0)",94,10,4.995577330603124,0.7899296589888598
"S3 (degraded backhaul, kappa=1.0)",95,10,5.12202925178884,1.0193747652878362
"S3 (degraded backhaul, kappa=1.0)",96,10,4.899885987215159,1.1768286964064265
