kappa,policy,feasible,alpha,B_UH_MHz,a1,a2,a3,T1_E2E_s,T2_E2E_s,T3_E2E_s,rho_U,rho_H,CSPR,GDI,AGDI,PAoI1_s,PAoI2_s,PAoI3_s,AoI_avg1_sim_s,n_seeds_valid
7.6,P1,False,,,,,,,,,,,,,,,,,,0
7.6,P2,False,,,,,,,,,,,,,,,,,,0
7.6,P3,True,0.35,1.2,1.0,1.0,0.0,0.1830607886333107,0.39565964694759986,0.7910236301600893,0.5716504945907651,0.5706412558229893,1.0,0.696641392401653,2.4825702480579857,0.5120081570543633,0.614957892561635,inf,0.502778969011371,1000
7.7,P1,False,,,,,,,,,,,,,,,,,,0
7.7,P2,False,,,,,,,,,,,,,,,,,,0
7.7,P3,True,0.35,1.2,1.0,1.0,0.0,0.1844317592376048,0.40261800012549864,0.8116259602380833,0.5791722116248542,0.5781496933996076,1.0,0.6911838539437825,2.464207571981526,0.5091070839129295,0.6190682165757151,inf,0.4997436867411292,1000
7.8,P1,False,,,,,,,,,,,,,,,,,,0
7.8,P2,False,,,,,,,,,,,,,,,,,,0
7.8,P3,True,0.35,1.2,1.0,1.0,0.0,0.1858087650284348,0.4098435934415288,0.8334642700201369,0.5866939286589432,0.5856581309762259,1.0,0.6855691709915446,2.4451520344613007,0.5063215855412553,0.6235188071167426,inf,0.49678861397385043,1000
7.9,P1,False,,,,,,,,,,,,,,,,,,0
7.9,P2,False,,,,,,,,,,,,,,,,,,0
7.9,P3,True,0.35,1.2,1.0,1.0,0.0,0.1871918459452374,0.417351349659692,0.8566346884438003,0.5942156456930322,0.5931665685528442,1.0,0.6797889028216791,2.425385442182016,0.5036475421477691,0.6283218137947131,inf,0.4939248894468308,1000
8.0,P1,False,,,,,,,,,,,,,,,,,,0
8.0,P2,False,,,,,,,,,,,,,,,,,,0
8.0,P3,True,0.35,1.2,1.0,1.0,0.0,0.1885810422806416,0.425157316966038,0.8812427048909581,0.6017373627271212,0.6006750061294625,1.0,0.6738339751333262,2.404888087582126,0.5010810422806415,0.6334906502993713,inf,0.4911803598738723,1000
8.5,P1,False,,,,,,,,,,,,,,,,,,0
8.5,P2,False,,,,,,,,,,,,,,,,,,0
